customer_id,loan_amount,term_months,purpose,application_date,city,state,country,channel,agent_id,campaign
b675aa6c-24b4-4f89-9dcf-50a8d57ab30a,19352.47,12.0,Home,2023-11-02,Jonathanfurt,California,,Agent,fc19c446-8521-4475-9e19-609a8dd86e6b,FestiveBonanza
a9755e24-e124-4fd2-8603-dd2bbdf66c53,47585.0,24.0,Car,,Wardville,North Carolina,Sudan,Online,3a636dfa-882c-4c37-9f1e-88ae79d0f9e2,None
713ee765-f291-4b41-92c6-a73f085cf0ed,36867.7,12.0,Wedding,2024-04-25,,Missouri,New Caledonia,Agent,f6c83170-70b7-46b6-a688-e71da023723b,None
00a730f0-fcc2-4fd8-b297-a3b0140d6d90,30334.27,12.0,Vacation,2022-09-30,West Bradleytown,Maryland,Saint Lucia,Branch,97b1fc54-d8ba-4307-8c52-0d9508dfc614,Summer2023
72a50ca4-41c8-4837-a905-d43af7719e2d,8644.91,12.0,Home,2024-01-14,Schaefertown,South Dakota,French Southern Territories,Online,f0849ef6-6261-46f4-aafa-06eef9059e30,
2d940f7d-bbab-4b8d-a107-112ed35627c3,8643.73,60.0,Vacation,2025-05-23,West Jessica,Arkansas,San Marino,Online,ae5e94b3-d2a1-49dc-b0d6-f743f30d2301,None
99695a7c-20ac-49f5-bd3a-f364d6812114,3846.1,24.0,Wedding,2024-10-02,Drewbury,New Jersey,Guadeloupe,,7279667f-5556-40b7-9a49-f58fbb00c3d7,None
7ae0d653-9d55-45e5-97aa-ba453b011655,43442.63,60.0,Medical,2025-07-11,Woodside,Kentucky,Christmas Island,Online,327f863f-b4b9-455b-bc74-fd5a20692608,FestiveBonanza
6867e9a3-c90a-4ad0-8e40-1dbd4870b4d3,30454.64,60.0,Education,2024-10-15,Greenmouth,Vermont,Kyrgyz Republic,Online,349235e5-678c-4b29-b8d7-de4eab4290cb,Summer2023
e0eba081-52ff-4387-8539-2926e2829129,35695.56,48.0,Education,2025-06-04,South Dennis,Massachusetts,Pitcairn Islands,Branch,1caa5244-e2ec-4290-b1c8-e82d171c97e1,Summer2023
,2008.64,24.0,Education,2023-07-07,Friedmanmouth,Michigan,Turkmenistan,Online,17fdbff2-809f-4740-b694-3f87256f7bdd,Summer2023
ebee3ec1-b9c4-46cd-b889-7ac219b80ce3,48525.58,48.0,Home,2024-04-11,Christopherburgh,West Virginia,Antigua and Barbuda,Branch,eeb94903-62ac-4d10-a8c2-0d566412dcdc,FestiveBonanza
ffaf0ed8-7744-41dd-93ea-cbb3e87a377d,41789.69,,Education,2025-05-07,South Jack,South Dakota,Mauritius,Online,9fb00f69-7bb6-47c3-ba7e-1485b873c7a9,None
9f58c6fd-8854-425e-bb51-87389b830c5a,11404.62,48.0,Vacation,2023-12-21,Port Drew,,Vietnam,Online,72a23c9a-cf7c-47af-8e01-c692b9b69f00,FestiveBonanza
ffb10173-526d-4f7e-b9c4-a288be6685d0,9909.42,12.0,Vacation,2024-10-22,North Eric,Arizona,Panama,Branch,dfa78b52-2b5a-4b22-9a54-4b9385fc182f,None
23beae33-07d9-4646-be91-7a5d4cbfd108,9986.82,60.0,Education,2024-11-08,East Robertfort,Alaska,Malaysia,Agent,d4d6d7a8-a7f8-4d10-b3b3-fe8f7e618a5d,Summer2023
e0569e43-da93-4aa8-827d-2540160a091a,15907.87,,Home,2024-05-18,West Jason,Louisiana,,Agent,40ec0adb-c2ec-4d4c-9be7-c66807e5b786,Summer2023
e5386880-7cb8-4270-9ca3-f10e92f6f0bc,26713.07,36.0,Home,,East Ashley,Oregon,Colombia,,7dbfc7ae-ecc5-4db5-87a4-64b130a1ac6d,Summer2023
1ef5b035-2a9a-46ec-8209-089c1850dbd6,22165.31,,Education,2024-02-15,Spencerfurt,South Dakota,Montserrat,Branch,49593793-d0ad-4e7e-ab95-b50a85e7b2af,None
